report_section,report_title,campaign_id,campaign_name,recommended_action,evidence_status,commercial_status,channel,objective,spend,roas,target_roas,estimated_lift_pp,lift_ci_lower_pp,lift_ci_upper_pp,treated_n,treated_conversions,control_n,control_conversions,control_exposure_n
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,80,Retention - Display - Feb 2025,Review spend and diagnose,Inconclusive lift,Below illustrative ROAS target,Display,Retention,4999.78,0.28,1.0,-2.72,-5.47,0.03,2084,36,225,10,173
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,99,Retention - Paid Social - May 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,8296.37,0.24,1.0,0.17,-2.42,2.75,1694,46,157,4,85
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,103,Retention - Paid Social - Jun 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,8121.62,0.19,1.0,-0.36,-3.69,2.97,1188,35,121,4,39
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,23,Cross-sell - Paid Social - Apr 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Cross-sell,8009.73,0.07,1.0,1.48,0.3,2.66,405,6,37,0,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,67,Retention - Paid Social - Dec 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,7888.63,0.36,1.0,0.62,-1.22,2.47,2165,52,225,4,164
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,39,Cross-sell - Paid Social - Jul 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Cross-sell,7695.62,0.2,1.0,1.22,-0.49,2.93,1106,22,130,1,66
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,59,Acquisition - Paid Social - Oct 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Acquisition,7522.52,0.04,1.0,-0.9,-4.38,2.58,829,13,81,2,28
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,71,Retention - Paid Social - Dec 2024,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Retention,7487.41,0.27,1.0,-0.39,-2.75,1.97,1823,45,210,6,150
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,91,Cross-sell - Paid Social - Apr 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Cross-sell,7161.88,0.22,1.0,2.35,0.46,4.24,1076,34,124,1,44
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,83,Winback - Paid Social - Feb 2025,Limit spend and re-test,Insufficient evidence,Below illustrative ROAS target,Paid Social,Winback,6904.41,0.19,1.0,1.35,-0.44,3.15,1545,39,171,2,89
